Index,Name,TwoHand,Level,ItemSlot,SkillIndex,Width,Height,DamageMin,DamageMax,SuccessfulBlocking,Defense,MagicDefense,WeaponSpeed,WalkSpeed,Durability,MagicDur,MagicPower,RequireStrength,RequireDexterity,RequireEnergy,RequireVitality,RequireCharisma,RequireLevel,Value,Zen,AttType,RequireClass0,RequireClass1,RequireClass2,RequireClass3,RequireClass4,RequireClass5,RequireClass6,Resistance0,Resistance1,Resistance2,Resistance3,Resistance4,Resistance5,Resistance6,Resistance7
0,"Kris",0,6,0,0,1,2,6,11,0,0,0,50,0,20,0,0,40,40,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,"Short Sword",0,3,0,0,1,3,3,7,0,0,0,20,0,22,0,0,60,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
2,"Rapier",0,9,0,0,1,3,9,15,0,0,0,40,0,23,0,0,50,40,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3,"Katana",0,16,0,20,1,3,16,26,0,0,0,35,0,27,0,0,80,40,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
4,"Sword of Assassin",0,12,0,21,1,3,12,18,0,0,0,30,0,24,0,0,60,40,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
5,"Blade",0,36,0,22,1,3,36,47,0,0,0,30,0,39,0,0,80,50,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
6,"Gladius",0,20,0,20,1,3,20,30,0,0,0,20,0,30,0,0,110,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
7,"Falchion",0,24,0,21,1,3,24,34,0,0,0,25,0,34,0,0,120,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
8,"Serpent Sword",0,30,0,21,1,3,30,40,0,0,0,20,0,36,0,0,130,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
9,"Sword of Salamander",1,32,0,20,2,3,32,46,0,0,0,30,0,40,0,0,103,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
